name,category,for_boy,for_girl,always_take_one,variable_by_day,qtd_very_cold,qtd_cold,qtd_cool,qtd_mild,qtd_warm,qtd_hot,qtd_very_hot,image,description
Basic T-shirt,Clothes,TRUE,FALSE,FALSE,TRUE,,,,4.0,6.0,6.0,6.0,default/000.svg,Take several shirts that you can mix and match with the rest of your clothes during the trip.
Basic T-shirt,Clothes,FALSE,TRUE,FALSE,TRUE,,,,,5.0,5.0,5.0,default/000.svg,Take several shirts that you can mix and match with the rest of your clothes during the trip.
Shirt Jacket,Clothes,TRUE,FALSE,FALSE,FALSE,1.0,1.0,1.0,1.0,,,,default/002.svg,"Be sure to bring a thicker shirt, which can be worn alone or over a shirt. Flannel plaids are a great Chooseion to have on hand in mild seasons, such as spring and autumn."
Shirt,Clothes,TRUE,FALSE,FALSE,FALSE,,,,,1.0,1.0,1.0,default/002.svg,Bring at least one cool and tidy shirt for the summer.
Sleeveless Dress,Clothes,FALSE,TRUE,FALSE,TRUE,,,,,2.0,2.0,2.0,default/202.svg,Choose a versatile model that you can use both day and night while traveling. Fabrics that do not wrinkle can be a good one to carry in your backpack.
Long-sleeved Dress,Clothes,FALSE,TRUE,FALSE,FALSE,,,,1.0,,,,default/203.svg,"To be tidier in a cold destination, you can choose a dress made of thick fabric, such as wool or velvet."
Long-sleeved Top,Clothes,TRUE,FALSE,FALSE,TRUE,5.0,5.0,5.0,2.0,,,,default/001.svg,"It is also useful in mild seasons, such as spring and autumn."
Long-sleeved Top,Clothes,FALSE,TRUE,FALSE,TRUE,5.0,5.0,5.0,6.0,,,,default/001.svg,"It is also useful in mild seasons, such as spring and autumn."
Fleece Shirt,Clothes,TRUE,FALSE,FALSE,FALSE,1.0,1.0,1.0,,,,,default/003.svg,"This piece is almost like a blanket, as it will ensure that you stay warm enough."
Fleece Shirt,Clothes,FALSE,TRUE,FALSE,FALSE,1.0,1.0,1.0,,,,,default/003.svg,"This piece is almost like a blanket, as it will ensure that you stay warm enough."
Wool Sweater,Clothes,TRUE,FALSE,FALSE,FALSE,1.0,1.0,1.0,1.0,,,,default/004.svg,The wool sweater is practical and fulfills its role on cold days.
Wool Sweater,Clothes,FALSE,TRUE,FALSE,FALSE,1.0,1.0,1.0,1.0,,,,default/004.svg,The wool blouse is practical and fulfills its role on cold days.
Jacket,Clothes,TRUE,FALSE,FALSE,FALSE,1.0,1.0,1.0,1.0,,,,default/005.svg,The windbreaker models are the most recommended for trips in cold places.
Jacket,Clothes,FALSE,TRUE,FALSE,FALSE,1.0,1.0,1.0,1.0,,,,default/005.svg,The windbreaker models are the most recommended for trips in cold places.
Winter Trousers,Clothes,TRUE,FALSE,FALSE,TRUE,1.5,1.5,1.5,1.0,,,,default/100.svg,"Prefer thick fabrics that are warm and do not let the wind pass, such as twill, flannel, gabardine and suede."
Winter Trousers,Clothes,FALSE,TRUE,FALSE,TRUE,1.5,1.5,1.5,1.0,,,,default/100.svg,"Prefer thick fabrics that are warm and do not let the wind pass, such as twill, flannel, gabardine and suede."
Jeans,Clothes,TRUE,FALSE,FALSE,TRUE,1.0,1.0,1.0,1.0,,,,default/100.svg,Prefer one that is comfortable and without much detail. 
Jeans,Clothes,FALSE,TRUE,FALSE,TRUE,1.0,1.0,1.0,1.0,,,,default/100.svg,Prefer one that is comfortable and without much detail. 
Summer Trousers,Clothes,FALSE,TRUE,FALSE,TRUE,,,,,1.0,,,default/100.svg,"For hot days, prefer to take a pair of light fabric trousers, such as natural fibers, which are more breathable. "
Short,Clothes,TRUE,FALSE,FALSE,TRUE,,,,,2.0,3.0,3.0,default/101.svg,"Be sure to bring shorts made of light, fresh and comfortable fabrics."
Short,Clothes,FALSE,TRUE,FALSE,TRUE,,,,,2.0,3.0,3.0,default/101.svg,"Be sure to bring shorts made of light, fresh and comfortable fabrics."
Thermal Trousers,Clothes,TRUE,FALSE,FALSE,FALSE,1.0,1.0,1.0,,,,,default/102.svg,It can be used as a second skin under clothing or even as pajamas.
Thermal Trousers,Clothes,FALSE,TRUE,FALSE,FALSE,1.0,1.0,1.0,,,,,default/102.svg,It can be used as a second skin under clothing or even as pajamas. 
Winter Pajamas,Clothes,TRUE,FALSE,FALSE,FALSE,1.0,1.0,1.0,1.0,,,,default/201.svg,"If you don't have a sleep set, you can take comfortable and warm trousers, like fleece or flannel, and combine them with a long-sleeved shirt."
Winter Pajamas,Clothes,FALSE,TRUE,FALSE,FALSE,1.0,1.0,1.0,1.0,,,,default/201.svg,"If you don't have a sleep set, you can take comfortable and warm trousers, like fleece or flannel, and combine them with a long-sleeved shirt."
Summer Pajamas,Clothes,TRUE,FALSE,FALSE,FALSE,,,,,1.0,1.0,1.0,default/200.svg,Soft shorts and a basic T-shirt fulfill the role of pajamas if you don't have a sleep set.
Summer Pajamas,Clothes,FALSE,TRUE,FALSE,FALSE,,,,,1.0,1.0,1.0,default/200.svg,Soft shorts and a basic T-shirt fulfill the role of pajamas if you don't have a sleep set.
Panties,Clothes,FALSE,TRUE,FALSE,TRUE,7.5,7.5,7.5,7.5,7.5,7.5,7.5,default/301.svg,Take comfortable and soft panties.
Underwear,Clothes,TRUE,FALSE,FALSE,TRUE,7.5,7.5,7.5,7.5,7.5,7.5,7.5,default/300.svg,Take comfortable and soft underwear.
Bras,Clothes,FALSE,TRUE,FALSE,TRUE,1.5,1.5,1.5,1.5,1.5,1.5,1.5,default/302.svg,"Forget delicate bras and take those that are more comfortable and resistant, like sports tops."
Socks,Clothes,TRUE,FALSE,FALSE,TRUE,5.0,5.0,5.0,5.0,5.0,5.0,5.0,default/404.svg,"Invest in running socks, which prevent friction and moisture."
Socks,Clothes,FALSE,TRUE,FALSE,TRUE,5.0,5.0,5.0,5.0,5.0,5.0,5.0,default/404.svg,"Invest in running socks, which prevent friction and moisture."
Casual Sneakers,Shoes and Accessories,TRUE,FALSE,TRUE,FALSE,,,,,,,,default/400.svg,Take a basic and comfortable sneaker to be that shoe for all occasions during the trip.
Casual Sneakers,Shoes and Accessories,FALSE,TRUE,TRUE,FALSE,,,,,,,,default/400.svg,Take a basic and comfortable sneaker to be that shoe for all occasions during the trip.
Flip flop,Shoes and Accessories,TRUE,FALSE,TRUE,FALSE,,,,,,,,default/402.svg,"You can use it at beach, around the destination on warm days, but also at the hostel/hotel to circulate in the common areas or bathroom."
Flip flop,Shoes and Accessories,FALSE,TRUE,TRUE,FALSE,,,,,,,,default/402.svg,"You can use it at beach, around the destination on warm days, but also at the hostel/hotel to circulate in the common areas or bathroom."
Flat Sandals,Shoes and Accessories,FALSE,TRUE,FALSE,FALSE,,,,,1.0,1.0,1.0,default/403.svg,"It has be comfortable, padded, firm on the foot and made of non-friction material for long walks. "
Casual Boots,Shoes and Accessories,TRUE,FALSE,FALSE,FALSE,1.0,1.0,1.0,,,,,default/401.svg,"For very cold days or snowy destinations, a waterproof boot can prevent your feet from getting damp or unprotected."
Casual Boots,Shoes and Accessories,FALSE,TRUE,FALSE,FALSE,1.0,1.0,1.0,1.0,,,,default/401.svg,"For very cold days or snowy destinations, a waterproof boot can prevent your feet from getting damp or unprotected."
Tights,Shoes and Accessories,FALSE,TRUE,FALSE,FALSE,,,,1.0,,,,default/103.svg,"Tights can be used with dresses, skirts and shorts or even under the trousers to help keep you warm."
Gloves,Shoes and Accessories,TRUE,FALSE,FALSE,FALSE,1.0,1.0,1.0,,,,,default/500.svg,"Prefer waterproof gloves, such as made of suede or leather. Avoid knitting or crochet, as the wind easily passes through the wefts."
Gloves,Shoes and Accessories,FALSE,TRUE,FALSE,FALSE,1.0,1.0,1.0,,,,,default/500.svg,"Prefer waterproof gloves, such as made of suede or leather. Avoid knitting or crochet, as the wind easily passes through the wefts."
Beanie,Shoes and Accessories,TRUE,FALSE,FALSE,FALSE,1.0,1.0,1.0,1.0,,,,default/501.svg,"It will protect your head from the low temperature, but it is also great for disguising bad hair day, especially in humid places."
Beanie,Shoes and Accessories,FALSE,TRUE,FALSE,FALSE,1.0,1.0,1.0,1.0,,,,default/501.svg,"It will protect your head from the low temperature, but it is also great for disguising bad hair day, especially in humid places."
Scarf,Shoes and Accessories,TRUE,FALSE,FALSE,FALSE,1.0,1.0,1.0,1.0,,,,default/502.svg,"You can wrap the scarf around your neck to protect it from the cold, but also it can be used as a blanket or pillow when traveling by plane, bus and train."
